@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
5,4.8,1,0.1,2,B
3.5,4.571429,1,0.285714,1.571429,B
5.5,4.272727,1,0.090909,1.636364,B
5,5.1,1,0.1,1.8,B
5,5.1,1,0.2,1.9,B
4,5.25,1,0.125,2.5,B
5,5,1,0.2,2.1,B
4,5.75,1,0.375,2,B
4,5.75,1,0.25,2.25,B
4,5.25,1,0.25,1.625,B
4,5.625,1,0.375,1.875,B
4,4.5,1,0.125,2,B
4,4.875,1,0,2.25,B
7,5.285714,1,0.285714,2.142857,B
9,5.333333,1,0.222222,2,B
7,5.285714,1,0.142857,3,B
7,5.428571,1,0.285714,2.428571,B
6,4.5,1,0,1.833333,B
7,6,1,0.571429,2.285714,B
5,5.2,1,0.2,1.8,B
6,6.166667,1,0.5,2.5,B
10,5.6,1,0.4,2.1,B
7,5.285714,1,0.142857,2.428571,B
6,5,1,0.333333,2.333333,B
8,6,1,0.5,2.25,B
9,5.555556,1,0.222222,2.333333,B
7,6,1,0.428571,1.714286,B
8,5.125,1,0.125,1.875,B
10,3.8,0.9,0,2,B
7,5.857143,1,0.285714,3,B
7,5,1,0.285714,2.428571,B
8,5.125,1,0.125,2.5,B
9,5.222222,1,0.222222,2.222222,B
7,6,1,0.285714,1.857143,B
8,5.375,1,0.375,2.5,B
9,4.888889,1,0.111111,1.888889,B
8,6.375,1,0.5,2.5,B
9,5.111111,1,0.333333,2,B
8,5.5,1,0.375,2.875,B
6,5.333333,1,0.5,2.333333,B
6,6,1,0.333333,2.5,B
6,4.833333,1,0.166667,1.666667,B
7,5.428571,1,0.285714,2.857143,B
5,6,1,0.4,2.4,B
6,5.166667,1,0.166667,2.333333,B
5,6,1,0.4,2.2,B
6,5.833333,1,0.333333,2.5,B
8,4.125,1,0.125,1.25,B
6,7,1,0.5,2.166667,B
